snid,n_obs,chi2_dof,stretch,residual,ln_A,t0,A_plasma,beta,neg_logL,pass_n_obs,pass_chi2,pass_stretch,is_flashlight,is_candidate
1307645,97,3.942373137255241,2.223258573837905,47.156909347121086,4.175837389330695,56613.26279427454,0.1,1.5,185.29153745099632,True,True,True,True,True
1906481,116,3.1290902485613032,7.9543451049092075,42.9346969759643,0.6976447083813646,57862.7810313221,0.1,1.5,176.79359904371364,True,True,True,True,True
1751022,119,3.637606333358922,0.9862454053608625,46.719201102586624,4.305889594813429,57775.03642573594,0.1,1.5,210.98116733481748,True,True,True,True,True
1469043,107,9.262747047456362,1.1945324525448127,52.236317629665805,6.559764518974475,57746.85023012609,0.1,1.5,481.66284646773084,True,True,True,True,True
1314047,89,5.382116564450579,1.897756112995544,45.6905675761529,3.893350458360878,56959.13571717665,0.1,1.5,231.43101227137487,True,True,True,True,True
1296353,107,10.01425555436077,4.143258355927014,52.09081838507686,6.781723804272119,56910.198,0.1,1.5,520.74128882676,True,False,True,True,False
1297375,76,5.4544807301990526,4.24096909069933,47.75580883208177,4.138865740864617,56862.258,0.1,1.5,199.08854665226542,True,True,True,True,True
1481029,79,4.6687164622302735,1.8379760994258203,46.86628450940886,4.334904886713545,57696.378033617155,0.1,1.5,177.4112255647504,True,True,True,True,True
1291052,100,5.476237263727783,10.0,48.999398726755,5.660114991123976,56704.32942047078,0.1,1.5,265.59750729079747,True,True,False,True,False
1392400,143,5.1616544547090495,1.4654995182723147,45.669403846804855,3.89823498027274,57636.855093003665,0.1,1.5,361.31581182963345,True,True,True,True,True
1273734,101,4.091602422741946,0.3,8.265286529064348,-30.0,56484.204,0.1,1.5,200.48851871435537,True,True,True,True,True
1262433,95,5.517506952249057,7.7957550265170035,44.09327004705305,3.181347083682411,56513.244,0.1,1.5,253.80531980345665,True,True,True,True,True
1255426,102,4.143630458358981,2.310298595237228,45.091435102253364,3.295163943626271,56520.963050712715,0.1,1.5,205.10970768876956,True,True,True,True,True
1329168,47,6.824060244633264,1.456666005345395,46.97843083842938,4.297991198053566,57280.2216237887,0.1,1.5,150.1293253819318,True,True,True,True,True
1501158,77,4.156519417417181,2.545940167146439,45.78013855380443,3.4985066419990503,57633.26380163728,0.1,1.5,153.79121844443569,True,True,True,True,True
1433253,125,3.1075446803850553,0.3,7.208613906250228,-30.0,57352.048,0.1,1.5,189.56022550348837,True,True,True,True,True
1643241,83,7.055967735845563,1.0002109531152767,45.4701725016828,0.0066641323949703235,57761.053655234886,0.1,1.5,282.2387094338225,True,True,True,True,True
1261139,25,3.411785340311786,3.157153855503074,46.21271679420853,3.983159029849894,56578.93253494954,0.1,1.5,37.52963874342964,True,True,True,True,True
1306147,103,13.521891182174619,5.00356503097736,38.89383545275361,1.4500089728232304,57198.388,0.1,1.5,676.0945591087309,True,False,True,True,False
1325180,105,4.163880205442319,2.5838333464207293,46.73672217854928,3.8527103013324293,56991.04281233663,0.1,1.5,212.35789047755827,True,True,True,True,True
1279527,71,23.514095055335343,10.0,76.78815213884465,30.0,57403.052637808505,0.1,1.5,799.4792318814017,True,False,False,True,False
1936086,48,3.7066047503129886,2.9376752770357415,42.64744030444625,2.1683312975024265,58054.94182908236,0.1,1.5,83.39860688204224,True,True,True,True,True
1278518,87,3.8443347268265633,3.3376628531973185,47.7006784914434,6.846631407308024,57026.38467343538,0.1,1.5,161.46205852671565,True,True,True,True,True
1297514,105,5.397927069282584,2.028951194969347,50.191503317192726,4.512072756592232,57237.77393481971,0.1,1.5,275.2942805334118,True,True,True,True,True
1922367,24,3.39478164036567,0.3,46.00729747500666,2.8459388965706083,58061.056499071674,0.1,1.5,35.645207223839535,True,True,True,True,True
1292308,82,5.487057981982719,5.852502669748541,50.5196430562097,5.488223966510361,56893.202,0.1,1.5,216.7387902883174,True,True,True,True,True
1283289,93,3.058318578164043,3.4883696591122244,47.7676604682319,6.43332953313876,57046.829907861014,0.1,1.5,137.62433601738195,True,True,True,True,True
1291957,102,4.9346082256714965,2.387158109001492,45.581941739335626,4.207466864492105,56854.29107036501,0.1,1.5,244.2631071707391,True,True,True,True,True
1332164,96,6.758045923086373,3.4470374885044817,46.19232008383769,5.385991437957408,57402.98829996407,0.1,1.5,314.24913542351635,True,True,True,True,True
1274240,123,4.495964970257927,5.550580368167066,46.152326914323986,3.852316076625172,57192.5934565798,0.1,1.5,269.7578982154756,True,True,True,True,True
1770730,95,5.000302959567791,2.963509670697431,38.387462382332835,0.7448366767605528,57936.301,0.1,1.5,230.0139361401184,True,True,True,True,True
1329615,96,4.8558201225561355,2.02934745178786,45.40325112072699,3.8765378453197172,57265.93777327293,0.1,1.5,225.79563569886028,True,True,True,True,True
1292910,99,6.401376625459279,4.984300550827713,49.926815850683006,5.596769544863086,56840.258,0.1,1.5,307.2660780220454,True,True,True,True,True
1247888,92,11.780943630737273,6.9268309737615485,50.29694501078261,6.143644931987787,56508.309,0.1,1.5,524.2519915678087,True,False,True,True,False
1318495,106,3.4507506691066774,0.3,10.02316678695437,-30.0,56893.202,0.1,1.5,177.71365945899387,True,True,True,True,True
1290491,101,3.9519737058093787,3.9224853724112756,45.44298783084811,2.663027186542749,56835.29,0.1,1.5,193.64671158465956,True,True,True,True,True
1246543,71,4.179068475800337,4.497810759723696,46.39456308555804,3.504315940612628,57199.293,0.1,1.5,142.08832817721145,True,True,True,True,True
1333576,53,4.138910561571547,1.9825164205701133,46.275973575251335,3.9262184534320284,57281.468957916084,0.1,1.5,103.47276403928868,True,True,True,True,True
1861143,104,3.2795840546546104,0.40542566708417627,45.005983243844895,2.1285421501362762,58008.81354604588,0.1,1.5,165.61899476005783,True,True,True,True,True
1256702,93,3.0272225052829045,0.3,2.685740185593488,-30.0,56509.167,0.1,1.5,136.2250127377307,True,True,True,True,True
1849244,104,4.7878472425130285,3.0457684494188517,46.109958383964724,3.81387979464715,57960.57808228664,0.1,1.5,241.78628574690794,True,True,True,True,True
1392220,91,3.272418310579714,0.3,8.59536025581452,-30.0,57573.208,0.1,1.5,143.98640566550742,True,True,True,True,True
1505017,117,4.8059144487541,5.138310573422228,44.231514444556716,2.816758111448813,57590.55957637176,0.1,1.5,273.9371235789837,True,True,True,True,True
1263305,92,4.560518103382876,10.0,-7.60374745715966,-30.0,56999.036,0.1,1.5,202.94305560053797,True,True,False,False,False
1250782,102,7.055901375722533,3.3844512843547387,39.34506303662266,1.0274732254138144,56487.194599872375,0.1,1.5,349.26711809826537,True,True,True,True,True
1246539,65,29.796659017117985,9.084086644867002,77.4809310720002,30.0,56692.354204914926,0.1,1.5,923.6964295306575,True,False,False,True,False
1595116,106,5.3862874197087,4.451089753270577,43.03961230116848,2.7101856812559504,57652.79439977739,0.1,1.5,277.39380211499804,True,True,True,True,True
1339425,106,5.01393224678358,1.1329545781227177,42.81892377833142,0.9331768212075247,57622.692718883045,0.1,1.5,258.21751070935437,True,True,True,True,True
1340775,34,3.147192554396144,10.0,9.070268967729398,-30.0,57731.289,0.1,1.5,48.781484593140235,True,True,False,True,False
