source,snid,ra,dec,z_helio,band,mjd,mag,mag_err,flux_nu_jy,flux_nu_jy_err,zp,zpsys,wavelength_eff_nm
osc,SN2011fe,,,,u,55857.4552,13.518,0.032,0.014217598603826284,0.00041903655172279507,,AB,355.1
osc,SN2011fe,,,,b,55857.456,13.166,0.029,0.019661934677201166,0.0005251700211708948,,AB,438.0
osc,SN2011fe,,,,uvw2,55857.4583,16.054,0.081,0.0013753912240439046,0.00010260935267639387,,AB,550.0
osc,SN2011fe,,,,v,55857.4606,12.128,0.029,0.051147716452377166,0.0013661548455495879,,AB,545.0
osc,SN2011fe,,,,uvm2,55857.4638,16.375,0.077,0.0010233548423421214,7.257593742846343e-05,,AB,550.0
osc,SN2011fe,,,,uvw1,55857.5196,14.929,0.072,0.0038763791496562593,0.00025705995392999345,,AB,550.0
osc,SN2011fe,,,,u,55857.5202,13.525,0.034,0.014126229214742325,0.0004423650894171243,,AB,355.1
osc,SN2011fe,,,,b,55857.5205,13.176,0.03,0.0194816729765658,0.0005382985173891042,,AB,438.0
osc,SN2011fe,,,,uvw2,55857.5214,16.081,0.097,0.0013416098831940267,0.00011985983160505472,,AB,550.0
osc,SN2011fe,,,,v,55857.5222,12.189,0.03,0.04835331446236297,0.0013360514529346848,,AB,545.0
osc,SN2011fe,,,,uvm2,55857.5234,16.58,0.112,0.0008472786224142327,8.740171442614274e-05,,AB,550.0
osc,SN2011fe,,,,u,55857.5246,13.583,0.037,0.013391408212481658,0.000456355882479023,,AB,355.1
osc,SN2011fe,,,,u,55857.5254,13.595,0.032,0.013244215812868802,0.0003903479539085789,,AB,355.1
osc,SN2011fe,,,,b,55857.5266,13.225,0.03,0.018621996852726457,0.0005145447882584398,,AB,438.0
osc,SN2011fe,,,,b,55857.5274,13.168,0.029,0.019625749393161775,0.0005242035127017626,,AB,438.0
osc,SN2011fe,,,,v,55857.5286,12.144,0.03,0.050399502433056215,0.0013925897159600686,,AB,545.0
osc,SN2011fe,,,,v,55857.5311,12.144,0.029,0.050399502433056215,0.0013461700587613999,,AB,545.0
osc,SN2011fe,,,,b,55857.7834,13.156,0.011,0.01984386431881654,0.00020104561913877498,,AB,438.0
