snid,n_obs,chi2_dof,stretch,residual,ln_A,t0,A_plasma,beta,neg_logL,pass_n_obs,pass_chi2,pass_stretch,is_flashlight,is_candidate,z
1249851,105,7.561463335786194,2.134335900861995,1.7498115091377069,3.842112838782136,56507.03341773539,0.1,1.5,385.6346301250959,True,True,True,False,False,0.2155199944972992
1255502,104,15.846214340132546,3.1522678675574185,2.9807303777237344,2.46281120263506,56582.795111734165,0.1,1.5,800.2338241766936,True,False,True,True,False,0.1491499990224838
1663140,11,4.1415094438451465,1.01469133224823,1.0350698867226025,5.674629923065332,57763.60615111027,0.1,1.5,16.566037775380586,False,True,True,False,False,2.0746829509735107
1712026,86,2.989702643826164,2.15372302715755,0.7290756616834797,1.3335188605577706,57955.8540969714,0.1,1.5,124.0726597187858,True,True,True,False,False,0.4072700142860412
1278661,98,5.0978010103138045,5.863696559614124,1.2578310411352316,5.3108459137155535,57199.388,0.1,1.5,242.1455479899057,True,True,True,False,False,1.466040015220642
1324345,115,3.297420131356508,3.580236397537033,0.815879988148035,4.0322040643978525,56970.42788838355,0.1,1.5,184.65552735596444,True,True,True,False,False,0.5613499879837036
1262680,96,3.3990364786867096,2.9153926943672914,0.8436476015461061,3.5606410385297806,56592.207734189375,0.1,1.5,158.055196258932,True,True,True,False,False,0.5667300224304199
1279434,93,19.89131590451294,5.453993091440345,3.4599681506164304,7.420096343987339,57513.70850030256,0.1,1.5,895.1092157030823,True,False,True,True,False,2.976603031158448
1294134,91,8.159160783170968,6.419154976288537,1.856424475313669,6.631938370487795,56840.386,0.1,1.5,359.00307445952257,True,True,True,False,False,1.652590036392212
1862151,77,3.2440389896290736,1.5150016333202372,0.8011215921278256,2.076930651802904,58000.33274340284,0.1,1.5,120.02944261627572,True,True,True,False,False,0.6356459856033325
1431163,109,4.625812173929842,2.547644732497082,1.1507701350748394,3.935284329619471,57606.94936641352,0.1,1.5,245.16804521828163,True,True,True,False,False,0.368120014667511
1339730,119,6.593251561346512,1.6802613369323205,1.5677327667314822,3.448713192127059,57374.23915149009,0.1,1.5,382.40859055809767,True,True,True,False,False,0.4499000012874603
1299294,74,3.779249664594365,1.9865546287477367,0.944029234500954,3.884565568350304,56875.89074093792,0.1,1.5,134.16336309309995,True,True,True,False,False,1.0937000513076782
1338675,94,6.17301805007302,2.965429860619318,1.4845559060067497,3.665012479778561,57312.0003516768,0.1,1.5,280.87232127832243,True,True,True,False,False,0.3315300047397613
1319776,127,3.4038358551145307,2.245110853206258,0.8449487405113809,3.5836564977720258,56960.29284364381,0.1,1.5,211.0378230171009,True,True,True,False,False,0.6603999733924866
1296375,104,3.490390817488223,5.597314678064721,0.8682587662013588,3.66665632984747,56840.258,0.1,1.5,176.26473628315526,True,True,True,False,False,0.9550700187683104
1336453,95,13.467210238082467,1.754142354053311,2.6697697799838163,2.6593093501206013,57361.24669008269,0.1,1.5,619.4916709517935,True,False,True,True,False,0.1857900023460388
1472039,130,3.4743008613576025,1.643720892628424,0.8639476552085905,2.4442236617729307,57634.39607509155,0.1,1.5,220.61810469620767,True,True,True,False,False,0.653410017490387
1303970,96,3.1572085582554705,5.046088292455736,0.7768535556582794,3.742074032674175,56853.223,0.1,1.5,146.81019795887937,True,True,True,False,False,1.062399983406067
1254002,105,4.289314144794895,2.265012599958529,1.0710659440961543,3.917204689770962,56527.70440178951,0.1,1.5,218.75502138453965,True,True,True,False,False,0.5364400148391724
1312327,114,5.783194071256429,5.154000641958302,1.404827243536722,3.804427861230039,56893.23,0.1,1.5,320.9672709547318,True,True,True,False,False,0.8108100295066833
1913090,63,5.952654805769337,2.689642168433067,1.4398063049695846,2.962823435500184,58045.33109176139,0.1,1.5,178.5796441730801,True,True,True,False,False,0.1501999944448471
1312849,109,3.725839328281832,2.2087998433313274,0.9302433339560668,4.040966230619716,56936.36865386081,0.1,1.5,197.46948439893708,True,True,True,False,False,0.8541899919509888
1275092,108,10.135131764112716,7.095087931600208,2.1835721703948723,4.66733272913072,56484.233,0.1,1.5,532.0944176159177,True,False,True,True,False,0.7615000009536743
1249178,104,3.927721456415144,1.4851122869470226,0.981847990239197,4.314578684440782,56499.53071113211,0.1,1.5,198.3499335489648,True,True,True,False,False,0.7664899826049805
1310916,114,4.303505745457847,2.0572192098513145,1.074489273401491,4.182956355034108,56949.82613711281,0.1,1.5,238.8445688729105,True,True,True,False,False,0.679830014705658
1345617,107,3.569788411426964,2.830470760047051,0.8893883696654226,3.639160841053716,57340.240790354896,0.1,1.5,185.6289973942021,True,True,True,False,False,0.453790009021759
1304362,96,4.573110976047181,1.21742582846867,1.138483335461649,1.1302007930994549,56968.91806312544,0.1,1.5,212.6496603861939,True,True,True,False,False,0.7630299925804138
1290453,103,6.677805866256579,5.399998225910741,1.584145093886289,4.174546585991287,56853.107,0.1,1.5,333.89029331282893,True,True,True,False,False,0.6945899724960327
1305913,17,11.036244865196265,1.000135025384418,2.322084415723999,0.0022746760387946,57032.06340912436,0.1,1.5,77.25371405637385,False,False,True,True,False,2.251737117767334
1259517,75,5.04214767045696,4.00811954817869,1.245472705346685,-10.170864521179784,56778.71276807517,0.1,1.5,181.51731613645052,True,True,True,False,False,0.5667999982833862
1343337,101,4.478071819015183,2.008160156920843,1.116145509887064,3.5680579184497176,57346.82542360856,0.1,1.5,219.42551913174395,True,True,True,False,False,0.3394699990749359
1929022,67,4.08235135336945,1.8779006630293893,1.0204829505267918,4.048710432318671,58054.22576528631,0.1,1.5,130.6352433078224,True,True,True,False,False,0.7541999816894531
1277903,52,6.639175606496451,5.580608030437765,1.576659777016836,4.429190000559721,57199.412,0.1,1.5,162.65980235916305,True,True,True,False,False,1.2574000358581543
