snid,z,alpha,mu_obs,mu_qfd,mu_lcdm,residual_qfd,residual_lcdm,residual_ln_A,chi2_per_obs
1952031,0.416332,21.5844,18.5483,42.3579,41.7872,-23.8096,-23.2389,21.929413,-11.12
1643256,0.819749,26.6261,14.5455,42.8733,43.5677,-28.3277,-29.0222,26.090800,-11.47
1299399,0.387711,20.1759,19.9230,42.2545,41.6046,-22.3315,-21.6816,20.568112,-12.11
1505017,0.399794,21.6414,18.3984,42.2998,41.6831,-23.9014,-23.2847,22.014045,-11.94
1509040,0.685071,22.5056,18.6296,42.8425,43.0897,-24.2129,-24.4600,22.300885,-11.41
1575027,0.315889,21.2493,18.3126,41.9249,41.0850,-23.6123,-22.7724,21.747754,-11.83
1683022,0.193050,19.9956,18.6045,41.0003,39.8706,-22.3958,-21.2661,20.627326,-11.18
1323758,0.580279,22.9481,17.7886,42.7366,42.6510,-24.9479,-24.8624,22.977892,nan
1778026,0.873443,21.3968,20.3610,42.8595,43.7374,-22.4985,-23.3765,20.721914,-12.18
1770494,0.187921,20.9562,17.5030,40.9462,39.8056,-23.4432,-22.3025,21.591949,-11.70
1773037,0.185061,23.3367,14.8851,40.9153,39.7686,-26.0302,-24.8835,23.974655,-8.08
1246389,1.049365,24.0727,17.8541,42.7338,44.2296,-24.8797,-26.3755,22.915060,-11.71
1331123,0.221565,21.5615,17.2035,41.2726,40.2056,-24.0691,-23.0021,22.168502,-10.04
1879299,0.432008,21.3809,18.8495,42.4089,41.8823,-23.5594,-23.0328,21.698969,-12.35
