zCMB,target,sigma
0.691,43.08876693,0.123487
0.357,41.42552796,0.130639
0.721,43.17567838,0.149034
0.581,42.74232334,0.08
0.6268,42.75861262,0.121814
0.818,43.39289417,0.111208
0.4627,42.042285,0.138578
0.449,42.02306835,0.131033
0.688,43.05398603,0.101368
0.87,44.2313042,0.135446
0.5043,42.3382007,0.096644
0.591,43.20910597,0.122036
0.426,41.76157748,0.145157
0.329,41.34025673,0.097244
0.583,42.40112537,0.135939
0.519,43.07150971,0.109753
0.401,41.69542447,0.102371
0.205,39.90376943,0.117859
0.34,41.21317877,0.096104
0.436,41.8800162,0.108459
0.363,41.55197569,0.092289
0.436,41.9257693,0.169889
0.309,41.17379571,0.121844
0.342,41.38459818,0.104249
0.159,39.4163641,0.12541
0.332,41.2554783,0.118421
0.469,42.35448121,0.116866
0.239,40.25912878,0.135406
0.352,41.42377935,0.139658
0.612,42.81394094,0.110701
0.631,42.37738312,0.109789
0.645,42.81697317,0.117423
0.429,41.89003881,0.08
0.497,42.07577382,0.08541
0.539,42.22666321,0.156611
0.561,42.8719504,0.163778
0.41,41.34749333,0.115675
0.412,41.42371219,0.135795
0.599,42.7434649,0.13138
0.619,43.05601864,0.200238
0.422,41.72830946,0.149123
0.54,42.51116352,0.119853
0.401,42.55462036,0.098413
0.218,40.07540742,0.081781
0.633,42.20167248,0.129154
0.383,41.6420339,0.103136
0.302,41.31079828,0.086543
0.34,41.08004325,0.105525
0.51,41.88068537,0.096143
0.421,42.13603163,0.162942
0.399,41.48808176,0.143097
0.493,42.14691467,0.12231
0.687,42.99638508,0.161765
0.687,42.83483512,0.126751
0.495,42.24866337,0.10142
0.603,42.64620471,0.161421
0.421,42.17962775,0.134964
0.348,41.5896262,0.096101
0.213,40.1090412,0.115886
0.344,41.17287112,0.099997
0.271,40.53230207,0.087364
0.564,42.37289175,0.146103
0.274,40.72465065,0.166903
0.181,39.68288852,0.08668
0.582,43.16391026,0.137381
0.68,42.90403446,0.108494
0.401,41.93563231,0.10981
0.416,41.55753695,0.10736
0.286,41.21113084,0.099967
0.562,43.05052259,0.124442
0.266,40.39070739,0.10067
0.314,41.23196804,0.127569
0.581,43.66867977,0.122226
0.463,41.94775375,0.116372
0.341,40.99151386,0.099205
0.631,42.88182529,0.109765
0.522,42.67733035,0.141359
0.368,41.46769524,0.133565
0.309,40.86077465,0.097336
0.528,42.36969184,0.125311
0.216,40.40490894,0.138591
0.284,40.83538258,0.080492
0.508,42.19427073,0.135988
0.781,43.43722955,0.130311
0.613,42.61670959,0.137986
0.278,40.56624057,0.102362
0.477,42.05433516,0.08
0.95,43.63831761,0.102569
1.057,44.1506301,0.155673
0.816,43.69108288,0.158263
0.455,42.32393227,0.100047
1.02,44.3629247,0.172964
1.14,44.32295709,0.104374
0.854,43.60846429,0.148796
1.37,45.04971335,0.124493
0.975,44.3337255,0.132619
0.97,44.4626017,0.153855
0.74,43.2875467,0.124232
1.39,44.87623434,0.15241
0.46,42.14844961,0.146775
1.02,44.16406553,0.135679
1.12,44.51440549,0.181804
1.23,45.02067572,0.123143
1.19,44.36283166,0.174521
0.839,43.39806572,0.194075
1.01,44.91213783,0.08
0.521,42.37824456,0.103224
0.475,42.1048814,0.136446
