A,Z,N,element,binding_energy,sigma
57,25,32,Mn,497.9927322,0.08578499999999431
57,26,31,Fe,499.9061253,0.015276000000000001
57,27,30,Co,498.28741649999995,0.029411999999999997
57,28,29,Ni,494.2433748,0.032262
57,29,28,Cu,484.6860822,0.028557000000000003
58,21,37,Sc,467.18672879999997,11.02145
58,22,36,Ti,481.842482,10.63372
58,23,35,V,490.57304800000003,5.557328
58,24,34,Cr,501.3519246000001,0.1728979999999942
58,25,33,Mn,504.4053404,0.156658
58,26,32,Fe,509.9506972,0.018328
58,27,31,Co,506.86037020000003,0.066874
58,28,30,Ni,506.4596017999999,0.020241999999994202
58,29,29,Cu,497.11623679999997,0.0327119999999942
58,30,28,Zn,486.9649086,2.900058
59,21,38,Sc,470.6080307,14.728759999999994
59,23,36,V,495.82440060000005,8.1066
59,24,35,Cr,505.54737049999994,0.039589000000000006
59,25,34,Mn,512.1744216,0.137411
59,26,33,Fe,516.5317014000001,0.01947
59,27,32,Co,517.3142361,0.023423
59,28,31,Ni,515.4588808000001,0.0207089999999941
59,29,30,Cu,509.87815929999994,0.031152000000000003
59,30,29,Zn,499.9530317999999,0.044781
60,22,38,Ti,489.167148,14.419499999999994
60,23,37,V,499.37250599999993,10.91676
60,24,36,Cr,512.411256,0.06708
60,25,35,Mn,517.688352,0.13974
60,26,34,Fe,525.351234,0.20436
60,27,33,Co,524.8061520000001,0.02418
60,28,32,Ni,526.846614,0.021179999999994
60,29,31,Cu,519.936282,0.09678
60,30,30,Zn,514.983144,0.03288
61,23,38,V,504.5335437,14.330119999999999
61,24,37,Cr,516.0705774,0.11364300000000001
61,25,36,Mn,524.5338577,0.142069
61,26,35,Fe,530.9298846,0.159088
61,27,34,Co,534.1252109999999,0.051179
61,28,33,Ni,534.6667141,0.021654999999993898
61,29,32,Cu,531.6464028,0.058010999999993894
61,30,31,Zn,525.2288978,0.969839
61,31,30,Ga,515.2323093,2.317634
62,23,39,V,507.64090300000004,16.385794
62,24,38,Cr,522.4980002000001,0.213714
62,25,37,Mn,529.3870124,0.405604
62,26,36,Fe,538.9587521999999,0.173228
62,27,35,Co,540.7227514,1.151588
62,28,34,Ni,545.262441,0.02635
62,29,33,Cu,540.5212018,0.039494
62,30,32,Zn,538.1193962000001,0.03813
62,31,31,Ga,528.1559838,0.039494
63,23,40,V,512.2391967,21.419685
63,24,39,Cr,525.8950073999999,4.5773909999999995
63,25,38,Mn,535.8214260000001,0.234738
63,26,37,Fe,543.7876437,0.27102599999999366
63,27,36,Co,549.2212236000001,1.1702249999999936
