snid,z,alpha,mu_obs,mu_qfd,mu_lcdm,residual_qfd,residual_lcdm,residual_alpha,chi2_per_obs
1262573,0.237472,21.4368,20.8418,43.1013,40.3755,-22.2595,-19.5337,20.501734,7.36
1337174,0.305754,19.7429,23.2297,43.3670,41.0031,-20.1373,-17.7734,18.547108,3.94
1308509,0.600541,24.8539,19.1464,43.5913,42.7414,-24.4448,-23.5949,22.514532,2.15
1559048,0.980002,21.3965,23.9636,42.9465,44.0460,-18.9829,-20.0824,17.483855,1.19
1262210,0.358664,19.3498,24.0032,43.4940,41.4061,-19.4909,-17.4029,17.951738,2.02
1316461,0.609842,21.8818,22.4067,43.5845,42.7819,-21.1778,-20.3752,19.505445,0.63
1313698,0.436191,22.8085,20.6729,43.5955,41.9072,-22.9226,-21.2343,21.112515,1.30
1347674,0.541606,21.2502,22.8347,43.6199,42.4700,-20.7851,-19.6352,19.143813,1.39
1327826,0.725993,21.1880,23.5385,43.4544,43.2438,-19.9159,-19.7053,18.343195,0.65
1785064,0.207739,19.3739,22.7911,42.9344,40.0485,-20.1433,-17.2574,18.552687,1.49
1293465,0.498010,24.2374,19.4092,43.6229,42.2508,-24.2137,-22.8416,22.301617,1.87
1683037,0.348013,20.1648,23.0528,43.4728,41.3296,-20.4200,-18.2767,18.807498,3.07
1337588,0.532994,19.8777,24.2902,43.6218,42.4280,-19.3316,-18.1379,17.805089,0.99
1283197,0.760921,30.0000,14.0731,43.4009,43.3690,-29.3279,-29.2959,27.011959,2.39
1342110,0.236939,18.7826,23.7187,43.0986,40.3700,-19.3799,-16.6513,17.849579,0.55
1575053,0.626354,21.0310,23.3884,43.5709,42.8524,-20.1825,-19.4640,18.588811,2.14
1258539,0.668684,23.2823,21.0861,43.5284,43.0255,-22.4423,-21.9393,20.670115,1.71
1813176,0.621643,22.0500,22.2657,43.5750,42.8325,-21.3093,-20.5668,19.626601,0.35
1899029,0.624114,22.5164,21.7679,43.5729,42.8429,-21.8050,-21.0751,20.083138,0.67
1335854,0.578690,21.8734,22.3019,43.6049,42.6438,-21.3030,-20.3419,19.620770,0.52
1576060,0.783444,21.5573,23.3029,43.3634,43.4467,-20.0604,-20.1438,18.476328,1.23
1928157,0.543788,23.1920,20.7352,43.6193,42.4805,-22.8841,-21.7453,21.077052,2.11
1569050,0.329881,22.1338,20.7988,43.4319,41.1942,-22.6331,-20.3954,20.845818,1.91
1871017,0.337203,22.6395,20.2974,43.4492,41.2497,-23.1518,-20.9523,21.323596,9.93
1336260,0.666656,22.3035,22.1423,43.5307,43.0174,-21.3884,-20.8751,19.699453,1.46
1308227,0.633037,19.8832,24.6577,43.5650,42.8805,-18.9073,-18.2228,17.414283,2.02
1324129,0.454792,22.5752,21.0168,43.6081,42.0151,-22.5913,-20.9983,20.807360,2.23
1295672,0.236596,19.4156,23.0283,43.0969,40.3665,-20.0686,-17.3382,18.483865,1.60
1910065,0.578749,21.6092,22.5890,43.6049,42.6441,-21.0159,-20.0551,19.356348,1.27
1565032,0.460970,21.3675,22.3573,43.6114,42.0500,-21.2540,-19.6927,19.575695,0.74
1292010,1.448841,27.8267,17.8312,41.4833,45.0960,-23.6522,-27.2649,21.784466,10.43
1252910,1.073216,24.7282,20.5436,42.7016,44.2900,-22.1580,-23.7464,20.408305,1.43
1251169,1.053032,26.9174,18.1255,42.7569,44.2390,-24.6314,-26.1135,22.686327,10.88
1574062,0.550205,21.0553,23.0805,43.6174,42.5113,-20.5368,-19.4307,18.915113,0.61
1422031,0.201690,22.6441,19.1764,42.8954,39.9767,-23.7191,-20.8003,21.846073,5.48
1936356,0.391301,19.6133,23.9062,43.5473,41.6282,-19.6411,-17.7220,18.090139,2.12
1252917,0.692769,20.6721,23.9970,43.4995,43.1193,-19.5025,-19.1223,17.962468,0.68
1257496,0.594007,22.6710,21.4927,43.5957,42.7125,-22.1030,-21.2199,20.357643,1.70
1341370,0.408999,22.2699,21.1178,43.5695,41.7415,-22.4517,-20.6237,20.678768,0.98
1304652,0.581265,25.9287,17.9086,43.6035,42.6555,-25.6949,-24.7469,23.665880,1.96
